game_id,season,home_goals,away_goals
2002021074,2002,2,1
2002021075,2002,6,2
2002021076,2002,2,2
2002021077,2002,2,4
2002021078,2002,1,0
2002021079,2002,3,3
2002021080,2002,3,2
2002021081,2002,3,5
2002021082,2002,2,4
2002021083,2002,2,3
2002021084,2002,5,2
2002021085,2002,5,6
2002021086,2002,3,3
2002021087,2002,0,1
2002021088,2002,1,5
2002021089,2002,6,4
2002021090,2002,2,1
2002021091,2002,1,4
2002021092,2002,3,0
2002021093,2002,4,5
2002021094,2002,1,3
2002021095,2002,3,4
2002021096,2002,2,0
2002021097,2002,4,3
2002021098,2002,3,6
2002021099,2002,4,2
2002021100,2002,3,2
2002021101,2002,1,4
2002021102,2002,3,2
2002021103,2002,7,3
2002021104,2002,2,2
2002021105,2002,3,1
2002021106,2002,1,5
2002021107,2002,2,3
2002021108,2002,3,2
2002021109,2002,1,2
2002021110,2002,2,4
2002021111,2002,8,1
2002021112,2002,3,2
2002021113,2002,5,3
2002021114,2002,2,4
2002021115,2002,2,3
2002021116,2002,1,3
2002021117,2002,1,1
2002021118,2002,0,4
2002021119,2002,5,3
2002021120,2002,3,4
2002021121,2002,2,3
2002021122,2002,3,1
2002021123,2002,1,1
2002021124,2002,4,0
2002021125,2002,3,2
2002021126,2002,6,0
2002021127,2002,3,2
2002021128,2002,4,3
2002021129,2002,6,2
2002021130,2002,1,4
2002021131,2002,2,0
2002021132,2002,5,0
2002021133,2002,1,4
2002021134,2002,2,2
2002021135,2002,3,3
2002021136,2002,3,4
2002021137,2002,4,0
2002021138,2002,1,1
2002021139,2002,2,9
2002021140,2002,3,4
2002021141,2002,1,2
2002021142,2002,2,1
2002021143,2002,1,3
2002021144,2002,5,1
2002021145,2002,0,1
2002021146,2002,4,3
2002021147,2002,3,2
2002021148,2002,2,2
2002021149,2002,2,2
2002021150,2002,2,1
2002021151,2002,3,0
2002021152,2002,4,1
2002021153,2002,2,1
2002021154,2002,5,1
2002021155,2002,3,0
2002021156,2002,4,1
2002021157,2002,2,3
2002021158,2002,2,5
2002021159,2002,1,1
2002021160,2002,4,3
2002021161,2002,4,0
2002021162,2002,3,0
2002021163,2002,1,3
2002021164,2002,2,6
2002021165,2002,6,1
2002021166,2002,4,3
2002021167,2002,1,3
2002021168,2002,1,3
2002021169,2002,1,1
2002021170,2002,2,3
2002021171,2002,4,6
2002021172,2002,1,5
2002021173,2002,3,4
2002021174,2002,6,0
2002021175,2002,4,4
2002021176,2002,3,1
2002021177,2002,2,2
2002021178,2002,0,4
2002021179,2002,3,4
2002021180,2002,1,6
2002021181,2002,3,0
2002021182,2002,5,5
2002021183,2002,3,0
2002021184,2002,3,0
2002021185,2002,3,1
2002021186,2002,4,5
2002021187,2002,3,2
